radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
ILTJ002217.14+283353.9,,5.568187,28.565257,0.585,0.01,0.898,0.042,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J002221.92+234401.2,5.591368,23.733681,0.0915,0.009,0.728,0.065,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ002224.70+182917.7,J002224.66+182944.6,5.602785,18.495744,0.57993,9e-05,2.033,0.041,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
,J002224.96-081845.7,5.604,-8.312697,0.57147,0.00012,2.502,0.04,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ002241.94+311806.2,,5.674921,31.303826,0.869,0.21,1.074,0.104,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002252.56+230408.4,,5.721489,23.067665,0.276,0.047,0.78,0.1,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002312.69+251512.5,,5.759143,25.207106,0.104,0.034,0.993,0.289,Hardcastle et al. 2023,2023-08-29,Oei et al. in prep.
,J002304.55+291547.1,5.768986,29.263097,0.0735,0.0274,1.643,0.565,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ002307.78+324227.6,,5.782192,32.707432,0.991,0.094,0.86,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ002319.35+281336.5,,5.829346,28.229604,1.174,0.374,0.852,0.101,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002324.57+163929.6,,5.849045,16.662902,0.5653,0.00014,0.743,0.04,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002326.94+270257.5,,5.863753,27.050876,0.704,0.091,0.713,0.058,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,,5.8859,32.2107,0.653,0.354,1.438,0.467,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ002333.58+322905.3,,5.889226,32.481493,0.80774,0.13905,0.967,0.076,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J002334.06-092624.3,5.891958,-9.440083,0.7886,0.0002,1.24,0.046,Mahato et al. 2021,2021-11-22,Mahato et al. 2021
ILTJ002353.80+220742.0,,5.965893,22.116901,0.927,0.151,2.588,0.136,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,5.9779,-47.541,0.52,,1.246,0.166,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ002354.31+185900.7,J002357.50+185855.8,5.989609,18.982184,0.4062,0.0352,1.573,0.089,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ002358.61+291202.7,,5.994116,29.200142,0.99,0.16,0.958,0.063,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
